Unnamed: 0,İl Id,İl Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK 
30,11,BİLECİK, 154.403 , 140.251 , 136.815 , 43.909 , 18.024 , 70.362 ,2.877,1.315,328.0
32,12,BİNGÖL, 181.265 , 147.241 , 140.903 , 9.726 , 2.462 , 93.965 ,33.066,1.473,211.0
34,13,BİTLİS, 198.961 , 165.831 , 160.160 , 10.056 , 3.676 , 80.462 ,64.097,1.645,224.0
36,14,BOLU, 223.121 , 199.720 , 194.734 , 45.393 , 16.616 , 128.314 ,1.585,2.367,459.0
38,15,BURDUR, 196.733 , 177.141 , 170.682 , 47.812 , 26.899 , 92.177 ,1.176,2.071,547.0
40,16,BURSA, 2.149.337 , 1.929.817 , 1.890.866 , 595.074 , 155.568 , 1.050.302 ,66.025,19.978,3.919
42,17,ÇANAKKALE, 407.273 , 371.086 , 363.003 , 158.944 , 43.208 , 152.222 ,6.045,1.573,1.011
44,18,ÇANKIRI, 134.311 , 118.132 , 114.567 , 14.153 , 11.342 , 87.457 ,274.0,1.132,209.0
46,19,ÇORUM, 391.400 , 356.077 , 346.045 , 91.897 , 25.477 , 223.431 ,1.609,2.991,640.0
48,20,DENİZLİ, 749.055 , 682.583 , 664.136 , 235.101 , 91.808 , 317.608 ,14.243,3.645,1.731
50,21,DİYARBAKIR, 1.024.929 , 857.585 , 830.668 , 51.311 , 8.432 , 227.478 ,534.414,8.03,1.003
52,81,DÜZCE, 268.337 , 244.417 , 238.267 , 44.118 , 14.727 , 173.965 ,2.256,2.607,594.0
54,22,EDİRNE, 311.104 , 275.220 , 268.191 , 149.229 , 27.817 , 84.216 ,4.493,1.716,720.0
56,23,ELAZIĞ, 412.412 , 349.660 , 339.752 , 52.963 , 21.322 , 237.766 ,21.973,5.337,391.0
58,24,ERZİNCAN, 162.532 , 146.389 , 143.014 , 45.006 , 7.913 , 86.673 ,1.803,1.415,204.0
60,25,ERZURUM, 494.291 , 431.146 , 420.304 , 41.516 , 27.761 , 303.995 ,40.567,5.971,494.0
62,26,ESKİŞEHİR, 646.221 , 575.173 , 564.085 , 231.691 , 54.571 , 262.192 ,9.914,4.427,1.29
64,27,GAZİANTEP, 1.216.402 , 1.039.421 , 1.016.520 , 221.237 , 54.209 , 649.868 ,80.303,8.955,1.948
